Sponsor,Total Protocols,Distinct Brands
CHX TECHNOLOGIES INC,3,2
PROQR THERAPEUTICS IV BV,3,2
PROTAGONIST THERAPEUTICS INC,3,3
PROTALIX LTD,3,1
PROTEOSTASIS THERAPEUTICS INC,3,3
PUMA BIOTECHNOLOGY INC,3,3
Q-MED AB,3,1
QUARK PHARMACEUTICALS INC,3,2
FINCH RESEARCH AND DEVELOPMENT LLC,3,3
CLEMENTIA PHARMACEUTICALS INC.,3,2
"RAYZEBIO, INC.",3,3
REATA PHARMACEUTICALS INC,3,1
REGENXBIO  INC,3,3
"RELAY THERAPEUTICS, INC.",3,3
REPARE THERAPEUTICS,3,3
ACORDA THERAPEUTICS INC,3,2
FUSION PHARMACEUTICALS INC.,3,3
GALERA THERAPEUTICS INC,3,3
ALX ONCOLOGY INC.,3,3
"CONCERT PHARMACEUTICALS, INC.",3,2
GE HEALTHCARE LTD  & AFFILIATES,3,3
SANOFI PASTEUR INC,3,3
CORBUS PHARMACEUTICALS INC,3,1
GILBERT BLAISE INC,3,2
SERES THERAPEUTICS,3,2
SHATTUCK LABS INC,3,3
AURIS MEDICAL INC,3,3
CORVUS PHARMACEUTICALS INC,3,3
"SOLID BIOSCIENCES, INC.",3,2
89BIO INC.,3,2
AGENSYS INC,3,3
CPC CLINICAL RESEARCH,3,1
AVALYN PHARMA INC,3,2
ST BONIFACE GENERAL HOSPITAL,3,3
AVEO PHARMACEUTICALS INC,3,3
ST JUDE CHILDRENS RESEARCH HOSPITAL,3,3
GREEN CROSS CORPORATION,3,3
AVID RADIOPHARMACEUTICALS INC,3,2
STEMCELLS INC,3,2
SUMMIT THERAPEUTICS INC.,3,3
GW RESEARCH LIMITED,3,2
HAL ALLERGY BV,3,3
SUSTAINED THERAPEUTICS INC,3,2
CUBIST PHARMACEUTICALS CANADA INC.,3,1
SWEDISH ORPHAN BIOVITRUM AB (PUBL),3,3
"CUTANEA LIFE SCIENCES, INC",3,1
"SYNTHETIC BIOLOGICS, INC",3,3
TAYSHA GENE THERAPIES INC.,3,3
HOPITAL CHARLES LEMOYNE,3,3
TETRA BIO-PHARMA INC.,3,3
DANA FARBER CANCER INSTITUTE,3,3
DEBIOPHARM INTERNATIONAL SA,3,3
DENALI THERAPEUTICS INC.,3,1
"IGM BIOSCIENCES, INC.",3,2
THUNDER BAY REGIONAL RESEARCH INSTITUTE,3,3
"TOBIRA THERAPEUTICS, INC",3,1
"TORL BIOTHERAPEUTICS, LLC",3,3
TORONTO WESTERN HOSPITAL,3,3
DICERNA PHARMACEUTICALS INC,3,2
"TREELINE BIOSCIENCES, INC.",3,3
ANAVEX CANADA LTD.,3,2
INMAGENE LLC,3,1
INNOVADERM RESEARCH INC,3,3
"INOZYME PHARMA, INC.",3,1
UCB CANADA INC,3,1
UNIQURE BIOPHARMA B.V.,3,2
INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUEBEC,3,3
UNIVERSITY MEDICAL CENTER GRONINGEN,3,3
INSTITUTO GRIFOLS S.A.,3,3
UNIVERSITY OF MARYLAND,3,3
BAXTER HEALTHCARE CORPORATION,3,3
UROVANT SCIENCES GMBH,3,2
