Medical Condition,Protocol Count
INFLUENZA,46
HYPERCHOLESTEROLEMIA,46
MACULAR DEGENERATION,46
GLIOBLASTOMA,46
PSORIATIC ARTHRITIS,46
PULMONARY FIBROSIS,45
HEPATITIS B,45
NON-HODGKIN LYMPHOMA,44
OSTEOARTHRITIS,44
PULMONARY ARTERIAL HYPERTENSION (PAH),43
LYMPHOCYTIC LEUKEMIA,43
HEMOPHILIA A,43
NONALCOHOLIC STEATOHEPATITIS (NASH),43
ANGIOEDEMA,42
OVERWEIGHT/OBESITY,42
TRAUMA,42
CHRONIC KIDNEY DISEASE (CKD),42
ACUTE LYMPHOBLASTIC LEUKEMIA,41
ENDOMETRIAL CANCER,41
BREAST CANCER HER2-POSITIVE,41
HEREDITARY ANGIOEDEMA,40
ATRIAL FIBRILLATION,40
DIABETES MELLITUS,39
CASTRATION RESISTANT PROSTATE CANCER,38
ANEMIA,38
SQUAMOUS CELL CARCINOMA OF THE HEAD AND NECK,38
PROSTATE CANCER METASTATIC CASTRATION RESISTANT,36
IDIOPATHIC PULMONARY FIBROSIS (IPF),36
EPILEPSY,36
CHRONIC LYMPHOCYTIC LEUKEMIA,35
BREAST CANCER METASTATIC,35
CLOSTRIDIUM DIFFICILE INFECTION,35
MYELOFIBROSIS,35
NEPHROPATHY,33
SICKLE CELL DISEASE,33
VENOUS THROMBOEMBOLISM,32
FALLOPIAN TUBE CANCER,32
HUNTINGTON DISEASE,32
HEMATOLOGICAL MALIGNANCIES,31
FAMILIAL HYPERCHOLESTEROLEMIA,31
DEMENTIA,31
URTICARIA,31
STRESS,31
CARDIOMYOPATHY,31
LUNG DISEASE,31
"BREAST CANCER, HORMONE RECEPTOR POSITIVE, HER2 NEGATIVE LOCALLY ADVANCED OR METASTATIC",30
METASTATIC COLORECTAL CANCER,30
GLIOMA,30
FOLLICULAR LYMPHOMA,30
BREAST CANCER TRIPLE NEGATIVE,30
SYSTEMIC LUPUS ERYTHEMATOSUS,29
GASTRIC CANCER,29
ADVANCED CANCERS,28
SCHIZOPHRENIA,28
GASTROESOPHAGEAL JUNCTION CANCER,27
CHRONIC SPONTANEOUS URTICARIA,27
MYOCARDIAL INFARCTION,27
"GENERALIZED MYASTHENIA GRAVIS (MG).""",26
HEMOPHILIA B,26
NEUROENDOCRINE TUMORS,26
HEPATITIS B VIRUS,26
ACNE,25
PULMONARY HYPERTENSION,25
GRAFT VS HOST DISEASE,25
EPITHELIAL OVARIAN CANCER,24
NEUROBLASTOMA,24
LIVER DISEASE,24
POST-TRAUMATIC STRESS DISORDER,23
RHINOSINUSITIS,23
PAROXYSMAL NOCTURNAL HEMOGLOBINURIA,23
CARDIAC SURGERY,23
PANCREATIC CANCER,23
RHINITIS,23
METASTATIC SOLID TUMOURS,23
ACUTE MYELOGENOUS LEUKEMIA,23
SYSTEMIC SCLEROSIS,23
VITILIGO,23
MACULAR EDEMA,23
NEOVASCULAR AGE-RELATED MACULAR DEGENERATION,22
HEAD AND NECK CANCER,22
INTERSTITIAL LUNG DISEASE,22
LOCALLY ADVANCED/METASTATIC NON SMALL CELL LUNG CANCER,21
KIDNEY TRANSPLANTATION,21
IMMUNIZATION,21
NEUROPATHIC PAIN,20
ALOPECIA AREATA,20
HEPATITIS C VIRUS GENOTYPE 1,20
SPINAL MUSCULAR ATROPHY,20
CHRONIC INFLAMMATORY DEMYELINATING POLYNEUROPATHY (CIDP),20
ADVANCED MALIGNANCIES,20
CERVICAL CANCER,20
OSTEOARTHRITIS OF THE KNEE,20
AMYLOIDOSIS,19
PRIMARY PERITONEAL CANCER,19
BRAIN INJURY,18
HEART FAILURE WITH PRESERVED EJECTION FRACTION,18
INSOMNIA,17
HYPERTRIGLYCERIDEMIA,17
THROMBOSIS,17
CHRONIC HEART FAILURE,17
FABRY DISEASE,17
CONSTIPATION,17
ALLERGIES PEANUT,17
AUTISM,17
GLAUCOMA,16
RELAPSED OR REFRACTORY ACUTE MYELOID  LEUKEMIA (AML),16
THALASSEMIA,16
NARCOLEPSY,16
B-CELL NON-HODGKIN'S LYMPHOMA,16
HEMORRHAGE,16
BIPOLAR DISORDER,16
AUTISM SPECTRUM DISORDER,16
HEMATOPOIETIC STEM CELL TRANSPLANT,16
PNEUMONIA,16
CHRONIC COUGH,16
HYPERLIPIDEMIA,16
PRIMARY BILIARY CHOLANGITIS (PBC),16
NON-MUSCLE INVASIVE BLADDER CANCER (NMIBC),16
PANCREATIC DUCTAL ADENOCARCINOMA,16
LUPUS NEPHRITIS,15
JUVENILE IDIOPATHIC ARTHRITIS (JIA),15
ESOPHAGEAL CANCER,15
SEPSIS,15
RENAL CELL CARCINOMA METASTATIC,15
DIABETIC MACULAR EDEMA,15
NAUSEA,15
CHRONIC HEPATITIS B,15
CHRONIC MIGRAINE,15
SEASONAL ALLERGIC RHINITIS,14
ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),14
POLYCYTHEMIA VERA (PV),14
HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA,14
BRAIN METASTASES,14
PRURIGO NODULARIS,14
